EventDescription,FailedAssets,CauseTechnical,Category
"AMI meter reporting under voltage events. AMI technician have requested a faults crew to check connections at the pole, POA, complete a NST and the neutral connection at the transformer if required.

A faults crew were on site following an alarm from a smart meter with a report of a under voltage event. Upon arrival, the occupier advised the crew that electric shocks have been received from the kitchen taps at the premise for some time.  The faults crew contacted the Dispatch and requested that a LEI attend and assist to complete an investigation into the cause.",Aluminium twisted (grey);Connector/termination,Neutral fault;Electrical breakdown,Connection
VicFire reporting a grass fire and wires down at the location. On arrival the crew found that a privately owned pine tree (from outside the clearance space) had fallen across an adjacent 22kV line causing one conductor to break and fall to the ground and the other two conductors to fall to the ground intact resulting in a ground fire (Approx 5m x 50m) on the road reserve. Protection operated.  There were no reported injuries.,Crossarm (wood),,Trees
"At 2114hrs on 26/10/2015, 22kV feeder HT 08 circuit breaker reclosed to lockout affecting 210 customers. 

During light drizzly conditions, a pole fire occurred on a HV intermediate, LV strain pole (LIS No. 1816591) located outside 37 Nelburn Road, Moorabbin 1 pole east of Bignell Road.  The pole top was severely damaged and the pole was required to be replaced.",Pole (wood);Pole top,Electrical breakdown,Pole
"At 12.37PM on 23/10/2015, 22kV feeder DC 07 circuit breaker successfully reclosed and held.

A HV intermediate crossarm failed due to deterioration on pole No. LIS 7028094 located outside 58 Springfield Road, Box Hill North and came to rest on the LV crossarm. The reduced clearances between the HV and LV conductors enabled two birds to contact each other and a high voltage injection to occur.  The faults crew requested a LEI to attend and investigate for any possible damage to customers installations supplied from ""Fortune-Ashley"" substation.  The LEI confirmed a high voltage injection occurred (BWD 1518) affecting customers who reside in the vicinity that sustained minor damage to appliances and equipment.",Conductor (bare);Crossarm (wood);Aluminium,Age;HV injection,Crossarm
"3/12 steel HV conductor wrap-on termination broke at crossarm, causing the HV conductor to drop to the ground resulting in a small grass fire on edge of road embankment of approximate size 43 metres long up to 2 metres wide. The wind was blowing strong from the East and forced the fire up the embankment towards the road reducing its burn area. Bay of conductor was on a 1 phase span spur, back at nearest protection which is 3 phase fuse LA168, 1 x 12k BA fuse blew and dropped open, 1 fuse blew and was still closed and the other fuse was OK.",Conductor (bare),Corrosion,Conductor
A passing employee reported a pole top fire at the incident location. On arrival the crew found that a pole fire had occurred on a 22kV pole which burnt the pole and the crossarm however they both remained intact. There were no reported injuries or third party property damages.,Pole (wood);Crossarm (wood),Leakage,Crossarm
"Emergency services reported a vehicle accident at the incident location.  On arrival the crew found that following an accident involving a truck and a car, the truck (Owned by Andrew Goldman Excavations. Phone:(03) 5748 4372, Rego: 1AH7IF, Trailer Rego: WO9 856) drove under 22kV lines with its trailer extended contacting the lines causing them to break and fall to the ground.. Protection operated. There were no reported injuries or third party property damages.",Conductor (bare),,Vehicle
"MFB report a pole fire on the corner of Glenway Drive and Howard Road, Dingley Village. 

During light drizzly rain, a pole fire occurred at the 22kV centre phase tee-off eyebolt on pole No. LIS 0623137 located on the corner of Howard Road and Glenway Drive.  The pole is a 66kV intermediate with 22kV and LV tee-off construction.",Pole (wood),Electrical breakdown,Pole
A customer reported a service cable pulled down by a vehicle when it was U-turning at the incident location and that the truck had left the scene. On arrival the crew found that a LV service cable had been de-attached from the POA and was laying on the ground. There were no reported injuries or third party property damages.,Service conductor,,Vehicle
"Caller reports that outside 131 Logis Boulevard, the substation has been graffitied and the substation door ripped off.

There was an attempted copper theft at ""Logis L116-Smeaton"" kiosk substation with damage occurring to the door.  The copper bus work perspex cover was removed but no actual theft of copper.",Pad mounted equipment/kiosk,,Other
"VicFire reported an aeroplane had crashed into powerlines and exploded at the incident location. On arrival the crew found that an aeroplane had made contact with 22KV conductors, bringing the conductors to the ground and breaking one  conductor and resulting in fatal injuries to the pilot. Protection operated. The incident also resulted in a ground fire (Approx. 10m x 12m) on private property and also damage to grape vines. Crew isolated supply for the CASA Investigations Team to investigate.",Conductor (bare),,Vehicle
"A builder reported that the excavator on their site hit the service cable at the incident site.  On arrival the crew found that a contractor (Browns Piling, 4 John St Dandenong, Contact: Dean Moseley, Ph: 0418 174 462) was operating an excavator and contacted a LV service cable causing damage to the cable and associated POA. There were no reported injuries or third party property damages.",Service conductor,,Vehicle
"The truck company owner of the truck that caused the incident, reported that one of his trucks came into contact with lines that pass over the road at the incident location.  On arrival the crew found that an LV service cable had been had been contacted by a truck (Modern Towing, Contact: Chris, Ph: 0448 212 520), causing the cable to break and fall to the ground. There were no reported injuries or third party property damages. Service height was not measured as service was not replaced.",Service conductor,,Vehicle
"A customer reported that an excavator has struck an overhead power line at the incident location.  On arrival the crew found that an excavator (Operated by Calco Timber ( Colac ) Pty Ltd. Contact: Mr. David Colless, Ph: 0428 522 924) had struck a 22kV overhead conductor at the customers industrial site causing damage to 1 phase of the 3 phase conductors. Protection operated. There was no ground fire. There were no reported injuries or third party property damages.",Conductor (bare),,Vehicle
"A REC reported that they had contacted an underground cable at the incident location. On arrival the crew found that a contractor (Employed by property owner, Jason Rahmel, 529 Morpung Ave, Irymple, Ph: 0427 310 192) was excavating to install irrigation pipes and contacted an LV earthing cable causing damage to the cable. There were no reported injuries or third party property damages.",Copper;Earth/earthing,,Dug up
"A Fault crew attending following an outage found that an EDO fuse had operated at the incident location, however the barrel of the EDO fuse stayed in position without dropping down.  The barrel then caught fire.  There was no ground fire.  There were no reported injuries or third party damages.",EDO fuse,Candled fuse,Fuse
"A Fault crew attending following an outage found that an EDO fuse had operated at the incident location, however the barrel of the EDO fuse stayed in position without dropping down.  The barrel then caught fire.  There was no ground fire.  There were no reported injuries or third party damages.",EDO fuse,Candled fuse,Fuse
"A Powercor contractor reported a fire at the incident location.  On arrival the crew found that a pole fire had occurred on a 22kV pole, which burnt the pole causing the top of the pole to break and fall to the ground however the conductors remained aloft.  There was no ground fire. There were no reported injuries or third party property damages.",Pole (wood);Crossarm (wood),Leakage,Pole
Car hit pole cnr Bell St and Skeffington St Bellfield causing HV conductor to contact LV,Conductor (bare),,Vehicle
LV conductors on ground,Conductor (covered uninsulated),Conductor clashing,Conductor
"A civil contractor reported that they had contacted an underground cable with an excavator at the incident location.  On arrival the crew found that a contractor (LOJAC Civil Pty Ltd, Contact: Kenton Burnett, Ph: 0401 093 938, working for Watsons (Developer), Contact Dario: 0400 851 551) was operating an excavator and contacted a LV underground mains cable causing damage to the cable. There were no civil workers on site when the crew arrived and found the damaged cable live and exposed in the trench. The contractor had undertaken a DBYD enquiry for this location (Sequence No: 48519900). There were no reported injuries or third party property damages.",Cable,,Dug up
"A customer reported that a truck has pulled down a service wire at the incident location.  On arrival the crew found that an LV service cable had been contacted, causing the cable to break and fall to the ground. No vehicle was onsite when the crew arrived. There were no reported injuries or third party property damages. Upon restoration the service height was measured at 6.75m at the point of contact.",Service conductor,,Vehicle
Customer called to advise her daughter received an electric shock whilst in the shower.  Her daughter is okay and a REC was called who advised there is a shortage of supply coming in from outside and he can see a wire has come off the pole in the street.  The REC turned off the main switch and advised the customer to contact the electricity company.,Service conductor;Aluminium twisted (grey),Neutral fault,Conductor
"At approximately 0400hrs on 18/11/2015, ACR RB7294 located in Main Creek Road on 22kV feeder DMA 13 successfully reclosed and held.

The cause of the ACR auto reclose was attributed to a possum that caused hot debris/possum to ignite a small grassed area under pole No. LIS 9829162 (HVABC /open wire interface) outside 346 Main Creek Road, Main Ridge. The small 2sqm grass fire appears to have self extinguished.",Pole top,,Animal
"Customer reported a fire at the above location.  On arrival the crew found that a bird had caused a flashover on a 22kV fuse unit, resulting in a ground fire (approx. 2 sqm) in the road reserve. Customer put out fire and reported the incident the following day. There were no reported injuries.",EDO fuse,,Animal
Vic Fire reported a grass fire at the incident location.  On arrival the crew found that a tree (from outside the clearance space) had fallen across an adjacent low voltage conductor resulting in a grass fire (Approx. 200sqm) on the road reserve. There were no reported injuries.,Conductor (bare),,Trees
"CFA reported tree had brought conductor down and a fire at the incident location.  On arrival the crew found that a tree (from outside the clearance space) had fallen across an adjacent SWER conductor, causing the conductor to break and fall to the ground resulting in a ground fire (Approx. 2000sqm) on private property. Protection operated. There were no reported injuries.",Conductor (bare),,Trees
"A passer by reported that a tree removalist had made contact with a service pit at the incident location.  On arrival the crew found a service pit lid had been damaged by the stump removal equipment (Operated by Mildura Tree Services, Contact: Peter Luke, Ph: 5023 6452). There were no reported injuries or third party property damages.",Services pit,,Vehicle
A Powercor employee reported copper earths removed from a pole at the below incident location.  On arrival the crew found that both the high and low voltage earths on a 22kV substation pole had been removed. There were no reported injuries or third party property damages.,Earth/earthing,,Other
IMS 219142. Burnt out (candled) EDO fuse tube was found at Comwell 2 substation. No fire damage. No other apparent damage.,EDO fuse,Age;Corrosion;Electrical breakdown,Fuse
"While undertaking pole replacement work, a pole adjacent to two poles being replaced by ZNX work crews failed. This resulted in the pole falling and landing on an Elevated Work Platform (EWP) vehicle and a light construction truck (LCT).
No one was injured and the two vehicles sustained minor damage.",Pole (wood),,Pole
"A Powercor field operator reported that a brick / colour-bond wall had been removed from the substation following demolition works at the incident location. This resulted in security to the ground type substation being compromised. The demolition works (Undertaken by Merchi Demolitions, Site manager: Joe, Ph: 0459 035 388, subcontracted to Dynon Properties, Contact: Kerri, Ph: 0417 034 790) were carried out with the assets alive at 22kV. There were no reported injuries. CitiPower has isolated supply to the substation. The site manager advised that the site is under 24 hour surveillance, with a guard positioned on site.",Pad mounted equipment/kiosk,,Other
VicFire reported a pole fire at the incident location.  On arrival the crew found that a pole fire was in progress near the base of a SWER isolating substation where the copper earth cables are located and smoke was emanating out of the pole. There was no ground fire. Protection had not operated. There were no reported injuries. The crew unable to determine the cause of the fire.,Pole (wood),Unknown technical factor,Pole
"The fire brigade reported a grass fire at the incident location. On arrival the crew found that an overheated connection in a customer’s 240 Volt fuse box mounted on the substation pole, had caused debris to fall to the ground causing a grassfire of approx. 3 Hectares (500m x 50m plus other patches). The fire was on private property, and a substantial amount of the area burnt was a crop paddock. There were no reported injuries.",Connection box,Overheated connection,Connection
A field crew patrolling a line following an outage found that a fault had occurred at a 11kV cable head pole resulting in a fire at the white phase insulator of the cable termination box. Protection operated. There was no ground fire. There were no reported injuries or third party property damages.,Connection box,Overheated connection,AF Other
"A field crew patrolling a line following an outage found that an EDO fuse had operated, however the barrel of the EDO fuse stayed in position without dropping down.  The barrel then caught fire resulting in a fire to start in the vicinity of the base of the pole. Lightning storms in the area.  An area of approximately 40 square meters of grassed road reserve was burnt. No injuries were reported.",EDO fuse,Candled Fuse;Other,Fuse
"A field worker found that a civil contractor (ONE STOP CIVIL / TACTILE AUSTRALIA, 33-35 William St, TATURA, Contact: Greg Morrissey, Ph: 0407 446 710) had excavated to within 1000mm of a 22kV/LV substation pole at a depth of 1000mm breaching VESI Guidelines. Location on corner of Borung and Reef Streets.",Earth/earthing,,Dug up
An Asset Inspector reported that copper earths had been stolen from a pole type substation at the incident location. On arrival the crew found that the copper earths from Sydenham – Taylors substation had been stolen. There were no reported injuries or third party property damages.,Earth/earthing,,Other
"A representative of the company (Malcolm of Walters Steel, Mesh and Hardware Ph 9788 5444) reported that a truck had contacted and bought down a service wire which was sitting on the top of the truck in the laneway behind the incident location. On arrival the crew found that an LV service had been hit by a truck, resulting in it breaking and coming to rest on the truck. There were no reported injuries or third party damages. Following repairs the service height was measured at 4.3m at the point of contact.",Service conductor,,Vehicle
"A customer reported that an excavator had struck and damaged an underground cable at the incident location (near corner of McKellar Drive and Hodge Street).  On arrival the crew found that a contactor (Pipecon Pty Ltd, Contact: Sean. Ph. 0438 508 792) was undertaking excavation works and contacted a low voltage underground service cable causing damage to the cable. Protection operated. There were no reported injuries or third party property damages. The contractor had undertaken DBYD enquiries, however a Permit to Work on issue did not cover the area where the incident occurred.",Cable,,Dug up
A customer reported no supply and an explosion from their meter box at the incident location.  On arrival the crew found that a sheet of corrugated roofing iron had blown across 22kV and LV lines causing a HV injection which resulted in damaged metering and damages to customers premises. There were no reported injuries.,Conductor (bare),,Other
Low voltage conductor on ground,Conductor (bare),,Conductor
"A customer reported that he had “just arrived home after being out since 3pm, notes pole has been on fire during this time, and transformer has blown up and that he had an overhead connection but can no longer see his service wire”. On arrival, the crew found that the LV service cable across the road servicing the customers installation was missing. The crew found that the cable had been pulled down by an unknown vehicle/load and there was no sign of the service cable at the location. There were no witnesses and therefore, no details of the vehicle obtained. Further, the crew did not find any evidence of fire or damage to the transformer. There were no reported injuries or third party property damages. Following repairs the cable height was measured at 5.8m above the roadway.",Service conductor,,Vehicle
"A customer reported that a transformer on the pole near Greenhill’s Road is buzzing and random sparking has become more frequent coming from the transformer at the incident location. On arrival the crew found the top contact connection on the 22kV EDO fuse had overheated causing hot debris to fall to the ground, resulting in a ground fire (approx. 0.5m x 0.5m) in the road reserve. There were no reported injuries.",Connector/termination,Overheated connection,Fuse
"VicFire reported a wire down and tree / shrub on fire at the incident location. On arrival the crew found a bird had caused a flashover between the steel cross arm and the 22kV conductors resulting in 4 separate ground fires with the largest being approx. 10m x 5m, all of which occurred in the road reserve. Protection operated. There were no reported injuries. The incident also caused a HV injection into the pay TV cable on the pole causing damage to the cable.",Conductor (bare);Crossarm (steel),,Animal
"VicPol reported a fatality when a car hit a pole at the incident location.  On arrival the crew found that a single vehicle had veered off the road and collided with a wooden transformer pole. There was no ground fire. The young male driver, who was the sole occupant of the vehicle, suffered fatal injuries. No oil spill was reported.",Pole (wood),,Vehicle
"At 0643hrs on 26/11/2015, 22kV feeder MGE 24 circuit breaker reclosed to lockout affecting 1201 customers.  A customer at 1 Sunrise Drive advised there was a fire on the pole outside her house.

Following light drizzly rain, a HV crossarm fire occurred on a HV/LV pole with angle type 2 construction (LIS No. 0625027) located outside 1 Sunrise Drive, Mulgrave.  The pole fire originated at the HV crossarm with burn marks identified on the crossarm. The HV conductor fell and contacted a LV isolator mounting bolt that caused sparking and a LEI was dispatched to the site as the faults crew suspected that a HVI may have occurred.  The LEI inspected properties in the vicinity and confirmed that a HVI did not occur.",Conductor (bare);Crossarm (wood);Aluminium,Corrosion;Electrical breakdown,Crossarm
"Caller reported that he was driving west bound opposite the overhead reticulation and saw a flash from either pole numbers 70600204, 70600205, 70600206 or 70600207. The car has a roof rack and a flash has struck the roof rack on the passenger side with a discharge across the roof and down the window pillar on the drivers side.  The driver claimed to have received an electric shock to his right arm.

The person who received the electric shock advised the faults crew that he was driving down King Street and saw a flash and shock to his right arm which was resting on the car door arm rest.  He mentioned that he experienced tingles for approximately 10 minutes. He stopped and noticed a humming noise and a red blue green light surrounding the car. There was a burn mark on the roof rack on the passenger side of the car. A witness travelling behind stopped and saw a flash originate from the pole that struck the vehicle.  The driver insisted that he was well and did not require medical attention or observation.",No failed asset,Unknown technical factor,Conductor
LV conductor connection failed causing conductor to come to ground de-energised.,Conductor (insulated),Unknown technical factor,Conductor
"A Civil contractor reported some houses in the street have lost power when he was boring to install a gas pipe. On arrival crew found that the contractor (Drapers Civil Contracting, 54-56 Leather Street, Breakwater VIC 3216, Contact: Samuel Robertson, Ph: 0408 400 066, Gas Manager: Tony Wright, Ph: 0408 521 762) was carrying out underground boring works and contacted an underground LV mains cable causing damage to the cable. He incident also resulted in damage to customers premises and equipment connected to the circuit. Protection operated. There were no reported injuries. The contractor had undertaken DBYD enquiries, Sequence No  9787418.",Cable,,Dug up
A passer-by reported a fire on a pole at the incident location.  On arrival the crew found that a pole fire had occurred on a 3 phase 22kV strain pole which burnt the top of the pole.  Protection operated.  There was no ground fire.  There were no reported injuries or third party property damages.,Crossarm (wood),Leakage,Pole
"The United Energy Connections Team Leader was advised by Origin Energy that two sites have had the BSP removed with the meter still attached.  Origin advised the business is Super Safe Hire (Phone 9761 6180). The two events were reported to Origin by a lady named Angela.

The two sites are as follows: 
- 7 Warrandyte Road, Langwarrin.  This was abolished on 18/09/2015 as the meter had not been communicating since 19/12/2013 as per notes on the account.
- 5 Flame Tree Grove Mornington.  Meter is still active in our systems and a faults truck was promptly arranged to ensure there are no live wires or any hazards.",Cable,,Other
A Powercor employee reported that the fencing at a Zone substation (ZSS) had been cut in two places and a cable bypass trailer stolen. Nothing else was removed. The thieves left the ZSS fencing compromised. There were no reported injuries or third party property damages.,Zone substation,,Other
"At 1920hrs on 30/11/2015, 11kV feeder BC 23 circuit breaker reclosed to lockout affecting 1355 customers.  The occupier from 215 Orrong Road advised the tree opposite was on fire and there is no power in the street.

During strong winds, a tree branch from a council tree located outside 215 Orrong Road, Balaclava contacted the 11kV overhead conductors that resulted in the tree branch catching fire and falling onto the conductors.  In addition, there was charring evident in the adjacent branches in the tree canopy.",Conductor (bare);Aluminium,,Trees
Customer received tingles from shower taps,Service conductor,Neutral fault,Connection
A fault crew patrolling a feeder following an auto reclose event and found that a magpie had contacted a 22kV line resulting in a grass fire (Approx. 1m x 1m) in the Terminal Station grounds. The incident also caused damage to surge arrestors on the feeder. Protection operated. There were no reported injuries.,Conductor (bare),,Animal
Customer reported a supply outage and a cable laying across a fence at the incident location.  On arrival the crew found that a 22kV steel conductor had broken at a helical splice. The conductor was corroded but the crew could not determine if the cause was the corrosion or a downstream fault current. Protection operated. There was no ground fire. There were no reported injuries or third party property damages.,Conductor (bare),Corrosion;Electrical overload,Conductor
"2 magpies caused a flashover at a 66kV intermediate pole structure. CFA reported a fire on Merriang Gap Rd, which they extinguished, with our assets inside the fire area. Observed a grass fire of approximate size of 120 sq. metres. A fault crew was dispatched to check our assets which were assessed as acceptable, as the concrete pole was not damaged and the 66k WN-MYT line was still in service with minor damage to one insulator. The Information from SCADA showed the WN-MYT 66K line completed a successful auto reclose due to a ground fault at 21:14 on the 17/12/15.",Insulators;Pole (concrete),Insulator,Animal
IMS218525 - Car hit and broke conc pole lis#2803370. Car hit and broke a concrete pole lis#2803370. The vehicle incident caused a HV conductor to break and fall to the ground and the report received that the conductor could have been alive through back feed. The AusNet Services' Linesman disconnected supply as the vehicle was still on the pole.  Further advice from the Leongatha Site Manager is: it was only the centre phase conductor broken and the upstream ACR was open on arrival so there was no back feed. No live conductors on ground or at severly reduced clearances.,Pole (concrete),,Vehicle
"IMS218536  Tree clearer, advised of branch with rope attached on overhead due to tree clearing at LIS 1205679. Tree clearer advised he had not recieved permission to proceed from CEOT or his Supervisor. He was also unable to advise the application he was working under.  No suppression on network where work was being performed. Ambulance attended and tree clearer was taken to Box Hill 
hospital. 

On the morning of Wednesday 7th October 2015 a two person tree climbing crew employed by Taylors Trees, an approved Asplundh subcontractor, set out to complete three tree climbing jobs in the Warrandyte area on feeder RWN 26.  The crew arrived at their first intended location and identified what they believed was the correct tree. They have then approached and made contact with the resident at 62 Pound Rd, Warrandyte, who advised as it was early would they mind coming back around 9 am in the morning. The crew have complied with this request and attended and completed work at the next location at 35 Hutchinson Ave, Warrandyte.

Upon completion of the work the crew has returned to 62 Pound Rd and rigged the tree in preparation for trimming. During the course of the trimming the Climber has cut a limb approximately 6 metres long and 125mm diameter at the determined cut point. The Observer has attempted to control the limb with the attached rope, however it has fallen ninety degrees to the intended direction of fall and come into contact with one phase of the 22kV line. The Climber has stated he managed to push the limb away from himself using both hands and it has remained suspended approximately one meter below the cut point. The Observer has tied off the limb whilst at the same time the Climber has lowered himself to the ground. The crew has then commenced initial notifications and called for an ambulance as the climber believed he may have sustained an electric shock.",Conductor (bare),,Trees
"At 1209hrs on 06/10/2015, 22kV feeder DC 01 circuit breaker reclosed to lockout affecting 2169 customers.

During strong northerly winds on the Total Fire Ban day, a 22kV HVABC conductor failed mid-span near the CHP located in Church Road, Doncaster.  The location is in close proximity to the freeway easement at the rear of the Doncaster Zone Substation. A large grass fire commenced after molten metal fell into the dry grass causing a grass fire with multiple fire trucks in attendance.  

A request has been made to ZNX for the failed section of the of HVABC is quarantined to assist determining the exact cause or contributing factors.",Conductor (ABC);Aluminium,Electrical breakdown,Conductor
"At 1845hrs on 06/10/2015, 22kV feeder HGS 23 circuit breaker reclosed to lockout affecting 4582 customers

During strong windy conditions, a tree branch contacted the HV conductors in Kanowna Street, Hastings that resulted in a HV conductor contacting the LV conductors below.  The faults crew requested a LEI attend as a HVI was suspected to customers supplied from  ""Kanowna-Haddock"" ground type substation.  The LEI confirmed a high voltage injection occurred (MOR 1508) affecting customers who reside in the vicinity that sustained minor damage to appliances and equipment.",Conductor (bare),,Trees
"At 2324hrs on 06/10/2015, ACR MT0492 located in Tyabb-Tooradin Road on 22kV feeder HGS33 reclosed and held.

The section of the 22kV feeder was patrolled and the cause was found to be a fault at ""Tyabb TDN- Denham"" pole type substation that is located on Westernport Highway, north of the Frankston-Flinders Road roundabout at pole No. LIS 9679248. The pole is a double circuit 66kV, 22kV strain construction with a 2 phase pole type substation attached that supplies two customers. The pole fire has occurred on the timber pole near where the HV dropper clamps are located between the overhead conductors to the transformer and the CFA were in attendance.",Conductor (insulated);Aluminium,Electrical breakdown,Pole
"The customer received an electric shock to has hand and contacted a friend (Tenix employee) to investigate. The Tenix employee removed a live fuse wire that was hanging from the meter and contacted United Energy.

The occupier went to his switchboard to replace a fuse which had blown and made accidental contact with a coil of spare fuse wire located directly below the meter and received an electric shock to his hand.  He was standing in bare feet on the concrete floor when the contact was made. The customer called a friend who is a Tenix employee (Jody Friend 0409 082 695) who attended and found the tail of the spare fuse coil had been caught behind the meter terminal cover.  Following the installation of the meter, it appears a tail from the coil of fuse wire sitting at the bottom of the meter enclosure, somehow was caught behind the terminal cover when it was being replaced. The tail managed to enter the load side active terminal of the meter and energised the spare fuse coil to 240v.  The Tenix employee removed the fuse coil from behind the meter and ensured the site was safe.  He contacted the United Energy faults number advising that a live wire was hanging out of the meter.",No failed asset,,Other
Balloons caught in High Voltage conductors in Rosshire Rd caused an AMPAC to give way in High St and the wire fell setting the tree on fire.,Conductor (bare),,Other
"Whilst in the process of by-passing a SWER ACR for planned works, a Powercor crew closed the installed high voltage by-pass fuse. The crew then opened the ACR unit, and the HV fuse began to candle and catch fire, the crew promptly closed the ACR unit again, which extinguished the fire. There was no ground fire.  There were no reported injuries or third party damages.",EDO fuse,Age;Corrosion;Electrical breakdown,Fuse
"At 7.05PM on 10/10/2015, 66kV feeder TSTS-DC No 2 circuit breaker locked out but no customers were affected.  At the same time, 22kV feeder DC 10 and ACR DT7125 located in Beverley Street reclosed to lockout affecting 3650 customers.

During stormy conditions, a lightning strike caused damage to multiple premises in Franklin Road, Doncaster East supplied from the west circuit of ""Franklin-Leeds"" substation.  It appeared the lightning bolt directly struck pole No. LIS 7062538 that damaged 3 x HV boric acid fuse units at DT1140.  The faults crew requested that a LEI attend as a HVI was suspected to customers connected to the white phase.  The LEI confirmed a high voltage injection occurred (BWD 1517) affecting customers who reside in the vicinity that sustained minor damage to appliances and equipment.",Boric acid;Pole mounted,HV injection;Electrical breakdown,Lightning
"A Powercor Asset Inspector reported the top of a SWER pole burnt off at the above location.  On arrival the crew found that a pole fire had occurred on a SWER pole which burnt the pole causing the top section of the pole to fall to the ground, and breaking the tie on the SWER conductor, with the conductor remaining aloft. There was no ground fire. There were no reported injuries or third party property damages.",Pole (wood),Leakage,Pole
"A customer reported that a tractor had pulled a wire down at the above location.  On arrival the crew found that the customer (Johan Scholte) was driving a tractor and contacted and broke a LV service cable, pulling the cable from the POA end and causing it to fall to the ground across the tractor. There was no ground fire. There were no reported injuries or third party property damages. The service height was measured following repairs at 3.7m at the point of contact (driveway).",No failed asset,,Vehicle
"A customer reported that their service cable had been broken by a truck at the above location. On arrival the crew found that a truck (R ego: ZLT 173, Driver: Raj, Ph:0468 352 729 Melbourne Fast Movers, 4 McFadzean Ave, Reservoir, Vic 3073) had contacted a LV service cable breaking the cable which fell to the ground.  The incident also caused damage to the customers POA. There was no ground fire. There were no reported injuries. Following repairs the cable was measured at 3.7m over the driveway.",Service conductor,,Vehicle
"A customer reported that a service line had been pulled down by their truck at the above location.  On arrival the crew found that a vehicle (Owner: Allan Pearson, Ph: 0408 457 902) had contacted a LV service cable breaking the cable at the POA end and causing it to fall to the ground. There were no reported injuries or third party property damages. Following repairs, the height of the cable was measured at 3.6m over the driveway at the point of contact. There was no ground fire. There were no reported injuries.",Service conductor,,Vehicle
"A customer reported a service cable had been pulled down by a vehicle at the above location. On arrival the crew found that a LV service cable had been contacted by an unknown vehicle, causing the cable to break and fall to the ground. There were no reported injuries or third party property damages. Following repairs the cable height was measured at 7.1m above the road.",Service conductor,,Vehicle
"A contractor reported that they had hit a service cable at the above location.  On arrival the crew found that the contractor (Citi Wide Bobcat / tipper hire contractors, Ph:0402 257 125) were excavating on a building site, when their excavator contacted a LV service causing damage to the cable and loss of supply to 80 Graham Street, Newport. There were no reported injuries or third party property damages.",Service conductor,,Vehicle
MFB reported a fire at the above location. On arrival the crew found that a grass fire (Approx 300 sqm) had occurred around the base of a 22kV/LV substation pole.  The crew could not find anything that would link the pole to the initiation of the fire. There were no reported injuries.,Outdoor,Unknown technical factor,AF Other
"The customer had received slight electric shocks from the shower taps and contacted a REC.

A REC contacted the United Energy faults and emergencies number after being contacted by the resident who received electric shocks from the shower taps when standing on the wet shower base.",Services cable;Aluminium twisted (grey);Connector/termination,Corrosion,Connection
"The customer advised that he received a strong tingle from the taps but he's okay.

The occupier received a strong electric shock from the shower taps when standing on the wet shower base and contacted the United Energy faults and emergencies number.",Service conductor;Aluminium twisted (grey),Corrosion,Connection
